identifier;clientType;productName;testDuration;leadCount;period;installments;plan;isActive;isCoupon;valueToPay;webhookUrl
BWKDN5WQZYDO;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
HH0PZ20Y6JFW;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
M35ISWFGABJT;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
KYI5VJ6O7ONW;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
USJ6DTSQ9CKJ;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
EZDRQTMYFOCS;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
GXBTYICAD1LA;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
WTA1UATTV9L7;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
9GQIE2ZNPI9I;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
T04EUR8GPHTB;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
UVYHMEMBNTYU;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
13PLYIYANYWW;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
UFKECQMATVES;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
A7LUBQJ4BFB1;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
9XXXB8JT7GKD;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
HAYNKO02CPJE;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
RRCNIFB5VJRI;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
HQWJVUTYJXIV;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
PRDBXJYSCQBW;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
ZQS5AYCL9GT1;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
IN7LRSWUHXDA;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
AB5BXUOQKFJE;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
N0RUXZWKDF6A;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
U2TVNPYJKWHF;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
TGLK9OVGQEU3;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
YA7G4WLWIHG6;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
Y1ERLK9DOQIU;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
G3T2RKZBLKC4;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
P0L79Q4FXSP4;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
LAMGBTPO4KMS;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
PSNM39GT8PBU;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
VR2RIKOH78QM;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
ZFUG4WQVASWE;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
URSEAQXW6T2K;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
IP8KCEQ3CFFN;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
C77RQ1RW3RMH;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
EYI7YDIHNMOC;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
RZXFKAG49PXP;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
VD6W8BE8XWAC;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
9AUVHMOQG01U;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
FYZTFG1FGF1W;LOWTICKET;ChatFunnel;0;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;100;
KHKACEEB3DW4;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
UQRCHBVO7PWC;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
FBAJISBFATZA;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
NETOCUZM6SLJ;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
BO0MZUNHJWXA;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
BQKVMI3042IJ;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
AJENPAQAIFXN;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
UU8IDA5EGWT0;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
INTZDM4DHPWH;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
NP9SIEAARI5W;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
Q6TFRLCSJCDL;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
NFQHLSUN8URK;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
4PWXOSVGEBDW;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
Q1IE5AOPXDND;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
HNWFXRFM6T8Q;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
PMKAPC7AEUOP;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
FRUMAQ5HCXWT;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
CVAELUWFXMEB;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
7SU6DR8QTAWF;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
UT8I4K8XSJOB;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
4S0RWZXHDF5U;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
9QCWLA2ZYLDP;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
UG5ZJD6YTCPI;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
WEDAWVJSCN94;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
H74EB0F5GB5O;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
KG7JPHJ1EMMK;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
ITA2M6UT1UHP;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
QZ3TTNSBHICN;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
TTUKVPNGQXYR;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
3URXDJ2UX1VR;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
PBMHOMF5IHDV;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
YHSZAGZGDN2V;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
BAOXRGZ8TU4G;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
ER6GR9EEUPHG;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
J0N4BDCXTBBJ;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
ZB1GOUUU1ON6;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
AN2JXNYO8EAL;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
MMB3BOBV97YH;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
JURVBZJNONGB;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
5UYJP6I2BSBB;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
IJ2UDU3JTMLJ;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
CZSALCNRSYY0;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
OL95SC4EJGL5;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
PYX963PLZPFB;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
W4MOET1OAMCK;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
3H0HP14LCBLG;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
BASCLAUDLA4F;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
7A8YYI5BW0GN;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
WDXHTW4HBR60;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
JPGX3IE65TJ3;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
EY6XXW4K19AM;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
RYVQETHDYR9F;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
AW20QOLPZRMX;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
MUVSARGZLL9G;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
E7ZGFUVUJ3YR;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
UGRZC595GDBQ;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
IP5YMTPBO36O;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
KK5F9CYYT0HB;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
HCGOF7TBE5EX;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
7HJB5JZ4UTXJ;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
ZVCNWRIHMIW1;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
ZZHN0W7RA48Q;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
9AMW4MXVYGEG;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
T4LTQTAX5ASM;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
2ZL6EWT2R9ZZ;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
MUFVD2MUTGOB;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
U4WCAGBIRA4T;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
DFIZ9ZC05GFI;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
4UP8F7N8UQTQ;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
JY7SRPXFTTP7;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
KNTB0QESUD4R;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
MNSYSOZX5WWY;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
UVOCJTWT9CNA;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
MU7QDS0T490R;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
EGQ6B3W8N2MN;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
1VTP28PMIPA4;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
MDLNYIOJIISB;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
S2CK4GZWQ65F;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
HEHBRTWTBOU5;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
SVQDSTOIVEH9;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
A5BQ8CGPL999;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
MGZGP3OQ54G6;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
8W7ROFDLZVNR;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
M1DGEBNCMCQX;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
TWTW2DQCFRXZ;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
H3PQ3V5KARTD;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
7CISN5VL2ZCC;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
LNLJOYUJSSSA;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
MXIGNJVHR8RB;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
ZFN7M7SU7X3N;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
YGOBN0UAKRGK;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
LXPOA0JSTEEL;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
O186ZIBNF7AP;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
W5NDVPTDPTWC;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
XKNP51NFMCUE;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
UTYW39GC0XK7;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
TGHMALIB8BSL;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
DTOKOSPM0ZSR;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
UOFJIVC3VGOF;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
CVJCXTVPQECP;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
GDD2P3THB9BG;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
B5CTQI59SLAA;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
TDXEGQPCMJDD;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
OPEF2YWBTEUB;LOWTICKET;ChatFunnel;30;5000;MONTHLY;0;PREMIUM;TRUE;TRUE;0;
